Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
9/30/2020,2/1/2020,9/26/2020,IL,Sangamon County,17167,67,"1,890"
9/30/2020,2/1/2020,9/26/2020,IN,Boone County,18011,44,342
9/30/2020,2/1/2020,9/26/2020,IN,Dearborn County,18029,36,280
9/30/2020,2/1/2020,9/26/2020,IN,Dubois County,18037,14,333
9/30/2020,2/1/2020,9/26/2020,IN,Elkhart County,18039,109,"1,275"
9/30/2020,2/1/2020,9/26/2020,IN,Henry County,18065,11,321
9/30/2020,2/1/2020,9/26/2020,IN,Perry County,18123,12,119
9/30/2020,2/1/2020,9/26/2020,IN,Vanderburgh County,18163,67,"1,841"
9/30/2020,2/1/2020,9/26/2020,KS,Finney County,20055,19,168
9/30/2020,2/1/2020,9/26/2020,KY,Boone County,21015,10,513
9/30/2020,2/1/2020,9/26/2020,KY,Franklin County,21073,16,381
9/30/2020,2/1/2020,9/26/2020,KY,Kenton County,21117,48,"1,152"
9/30/2020,2/1/2020,9/26/2020,AL,Montgomery County,1101,323,"2,165"
9/30/2020,2/1/2020,9/26/2020,AL,Talladega County,1121,24,574
9/30/2020,2/1/2020,9/26/2020,AR,Columbia County,5027,14,183
9/30/2020,2/1/2020,9/26/2020,AR,Mississippi County,5093,20,255
9/30/2020,2/1/2020,9/26/2020,AR,Pulaski County,5119,237,"4,306"
9/30/2020,2/1/2020,9/26/2020,AR,Sebastian County,5131,79,"1,517"
9/30/2020,2/1/2020,9/26/2020,AZ,Gila County,4007,27,491
9/30/2020,2/1/2020,9/26/2020,AZ,Graham County,4009,22,218
9/30/2020,2/1/2020,9/26/2020,CA,Imperial County,6025,178,843
9/30/2020,2/1/2020,9/26/2020,CA,Kings County,6031,111,683
9/30/2020,2/1/2020,9/26/2020,CA,Los Angeles County,6037,"5,706","50,152"
9/30/2020,2/1/2020,9/26/2020,CA,Orange County,6059,"1,209","14,907"
9/30/2020,2/1/2020,9/26/2020,CA,San Bernardino County,6071,"1,061","11,314"
9/30/2020,2/1/2020,9/26/2020,CA,San Diego County,6073,942,"16,045"
9/30/2020,2/1/2020,9/26/2020,CA,Santa Cruz County,6087,13,"1,088"
9/30/2020,2/1/2020,9/26/2020,CA,Tulare County,6107,257,"2,268"
9/30/2020,2/1/2020,9/26/2020,CO,Broomfield County,8014,23,233
9/30/2020,2/1/2020,9/26/2020,CO,El Paso County,8041,175,"3,676"
9/30/2020,2/1/2020,9/26/2020,CO,Montrose County,8085,14,283
9/30/2020,2/1/2020,9/26/2020,CO,Morgan County,8087,40,184
9/30/2020,2/1/2020,9/26/2020,CT,Hartford County,9003,"1,411","6,418"
9/30/2020,2/1/2020,9/26/2020,CT,Litchfield County,9005,131,986
9/30/2020,2/1/2020,9/26/2020,FL,Alachua County,12001,183,"2,574"
9/30/2020,2/1/2020,9/26/2020,FL,Charlotte County,12015,135,"2,123"
